version,name
20260307064110,
20260307064557,
20260307071435,
20260307074655,
20260307080116,
20260307095515,
20260307100659,
20260307155408,
20260307163623,
20260307164201,
20260307171224,
20260307173249,
20260307174629,
20260307175609,
20260307183524,
20260307190328,
20260308143849,
20260308143938,
20260308144455,
20260308150607,
20260308150655,
20260308152248,
20260308171916,
20260308172645,
20260308172729,
20260308181746,
20260313155748,add_onboarding_fields_to_profiles
20260313160116,add_pending_approval_to_registration_status
20260313164323,add_membership_management_v2
20260313173411,add_user_status_to_profiles
20260313175905,add_event_visibility
20260313180002,add_email_to_profiles_v2_explicit_id
20260313181134,add_gallery_images_to_events_v2
20260313192211,create_event_broadcasts
20260314073200,
20260314073225,
20260314074223,
20260314080258,
20260314080328,
20260314083323,
20260314232753,
20260315000625,
20260315004426,
20260316001819,
20260316010024,
20260316085726,
20260316091035,
20260316091058,
20260316091329,
20260316092319,
20260317002209,
20260317152838,
20260317155819,
20260317155906,
20260318044303,
20260318051912,
20260318052932,
20260318053016,
20260318053152,
20260318053410,
20260318102632,
20260318155229,
20260318155335,
20260318161239,
20260323231402,
20260323231436,
20260324002747,
20260324002833,
20260324235528,
20260326014554,
20260326101819,
20260326114005,
20260326122000,
20260326123148,
20260326164659,
20260327082308,
20260327121801,
20260327125332,
20260327130221,
20260328060951,
20260328064821,
20260328080220,
20260328082116,
20260328094623,
20260328101232,
20260328102434,
20260329165751,
20260401020908,
20260401070333,
20260401070840,
20260401074445,
20260401075105,
20260401151235,
20260402162323,
20260420043223,email_broadcast_template_support
20260420050250,fix_founding_member_badge
20260420050521,protect_founding_member_badge
20260420054450,fix_progressive_membership_ids
20260420055957,add_registration_editable_fields
20260420060818,localize_notifications
20260420061154,fix_duplicate_waitlist_notifications
20260420153416,backfill_event_closing_sentences
20260421093737,add_cancellation_refund_tracking
20260421182238,add_broadcast_message_templates
20260422175001,redesign_missions_rule_engine
20260422181245,harden_mission_rule_engine_constraints
20260423012013,event_payment_balance_schema
20260423012030,event_payment_balance_backfill
20260426071916,normalize_event_closing_sentences
20260426074655,expose_public_profile_points
20260426075300,sync_profile_points_from_history
20260426083835,event_attendance_badge_awards
20260426090320,sync_attendance_status_with_checkin
20260426092319,sync_mission_progress_on_checkin
20260502225517,special_event_badge_uniqueness
20260502230732,add_membership_profile_fields
20260502232110,mission_secondary_category_filters
20260503051418,award_mission_rewards
20260503051624,restrict_mission_reward_functions
20260503054315,unify_active_participant_counts
20260503054939,restrict_spots_trigger_function
20260503060701,points_history_total_source_of_truth
20260503063930,dedupe_user_event_attendance_helpers
20260503064008,dedupe_user_event_attendance_badges
20260503064124,dedupe_user_event_attendance_missions
20260503064421,fix_dedupe_mission_progress_state_jsonb
20260506160738,fix_membership_activation_badge_guard
20260506164143,admin_manual_badge_assignment
20260506164401,restrict_admin_assign_badge_rpc
20260508091010,add_event_people_public_rpc
20260509073553,add_missing_event_special_badges
20260509073635,restrict_event_special_badge_trigger_rpc
20260510124451,ios_push_broadcasts
20260510221353,add_comprehensive_user_activity_logging
20260510221808,harden_user_activity_logging_functions
20260511102230,add_waives_service_fee
20260511124752,fix_user_activity_timeline_logging
20260511134934,drop_duplicate_welcome_email_trigger
20260511222909,participation_options_capacity_payment
20260512123151,ensure_default_user_role
20260514220606,harden_admin_user_activity_timeline_view
20260516091646,allow_manual_event_registrations_without_user
20260516102806,event_state_waitlist_backend_fixes
